,username,count
14,Dota_eSports,4
33,MESMERIZlNG,3
21,HaloMasta7,2
3,Archyes_Dota,2
54,RTFAMDNR,2
53,RTDNR,2
103,safwan_norazizi,2
10,DarkRTs1,2
76,eduardifdden,1
74,destinygamespot,1
