,username,count
9,DOTA_streams,2
39,ZeFPsychoo,2
13,FredFord_II,2
11,Dota_eSports,2
43,brekayyy,1
47,diiishiii,1
46,deathcabdan,1
45,cauca9xhp,1
44,cadqn,1
0,133NSPARK3Z,1
