,username,count
120,twt_dota,10
65,cauca9xhp,3
13,Dota_eSports,3
98,lesterjhonr,2
11,Dota_Ranker,2
112,rixxyturang,2
28,Ligagameesports,2
19,HellfireRT,2
82,fkhrlnzm,2
80,fiiizzzaaahhh,2
