,username,count
196,Dota_eSports,76
1394,twt_dota,62
701,Wengers_Dota,42
63,Archyes_Dota,16
863,cauca9xhp,15
850,brentnallbot,12
934,dril_dota,10
994,ggnetworktv,9
911,diari_dota2,8
132,ClanUgg,8
