,username,count
111,twt_dota,6
11,Blackouts1223,3
64,amrnumenor,3
22,Dota_eSports,3
0,AbrahamBeats,2
55,ViForce_Gaming,2
53,Spuddy_Kunke,2
29,Hellsome,2
59,abrarsiam801,2
8,Archyes_Dota,2
