,username,count
7,ClanUgg,8
97,twt_dota,6
14,Dota_eSports,5
44,TellyLucker,4
58,cauca9xhp,3
47,Wengers_Dota,3
94,tanneryiuz,3
71,ggnetworktv,2
45,TitusWachter,2
46,UltimateRedFire,2
