,username,count
16,Dota_eSports,6
54,Wengers_Dota,5
94,twt_dota,4
42,Richorong,4
46,Silverline_OOC,2
14,Dezzles,2
5,Archyes_Dota,2
92,tanzhenghan,2
69,delpede,1
63,cauca9xhp,1
