,username,count
111,twt_dota,4
61,abaddon324,4
19,Dota_eSports,3
54,SheldyCz,3
0,AboveUp,2
18,Dota_Joker,2
34,JimJimDota,2
115,yoo_game_r,2
66,ath3liclol,1
76,davidjesse34,1
