,username,count
103,twt_dota,6
17,Dota_eSports,5
62,diari_dota2,4
54,alifhafizi20,2
49,_ApekNuzzi,2
37,Per_Dota,2
70,faeez_iqhwan99,1
78,isyraff_icap,1
77,iamthetorch,1
76,henry_chanell,1
