,username,count
21,Wengers_Dota,11
0,Ahdinnn,2
40,ilaganjayson17,2
39,guacguactv,2
31,diari_dota2,2
29,brentnallbot,2
52,zykson,2
7,FutabaTheHermit,1
41,jawanskie,1
32,dotKITE_DotA,1
