,username,count
15,Dota_eSports,7
47,budinugroho_,3
59,ggnetworktv,2
66,inaraloki,2
6,Ahdinnn,2
87,twt_dota,2
77,pakdudot33,2
60,giveawayqannon,2
67,kal_syafiq,1
65,illlunatic,1
