,username,count
81,Wengers_Dota,9
24,Dota_eSports,6
140,twt_dota,4
87,amirulal73,3
133,rowentejam13,2
54,Oo_Kenta_oO,2
52,NomadJoel,2
61,PyrexHD,2
18,DOTA_2_MEMORIES,2
31,Gang_KG,2
