,username,count
13,Dota_eSports,5
45,cauca9xhp,2
59,kitkat_dota,2
0,24HourMedia,1
53,highway2hale_,1
60,littleguywant,1
58,karolinafomina4,1
57,kamarul_izzat,1
56,jh7R7E6rix79a7v,1
55,icystorm,1
